CA:SL2	CAPTAIN AMERICA: SENTINEL OF LIBERTY VOL. 2	1998-1999
CA:WHO	CAPTAIN AMERICA: WHO WILL WIELD THE SHIELD?	2010
CA:WPG	CAPTAIN AMERICA: WHAT PRICE GLORY	2003
CABB	CAPTAIN AMERICA'S BICENTENNIAL BATTLES (TREASURY)	1976
CAGE	CAGE	1992-1993
CALL	CALL	2003
CAP	CAP	2001
CAPTAIN AMERICA COMICS	CAPTAIN AMERICA COMICS	1941-1954
CAPTAIN AMERICA COMICS 70AS	CAPTAIN AMERICA COMICS 70TH ANNIVERSARY SPECIAL	2011
CAPU/DD	CAPTAIN UNIVERSE/DAREDEVIL	2006
CAPU/H	CAPTAIN UNIVERSE/HULK	2006
CAPU/IW	CAPTAIN UNIVERSE/INVISIBLE WOMAN	2006
CAPU/SS	CAPTAIN UNIVERSE/SILVER SURFER	2006
CAPU/X23	CAPTAIN UNIVERSE/X-23	2006
CAT	CAT	1972
CATMAN	CATMAN COMICS	1941-1946
CATOW:AF	CAPTAIN AMERICA THEATER OF WAR: AMERICA FIRST!	2009
CATOW:ATB	CAPTAIN AMERICA THEATER OF WAR: AMERICA THE BEAUTIFUL	2009
CATOW:BIA	CAPTAIN AMERICA THEATER OF WAR: A BROTHER IN ARMS	2009
CATOW:GOMC	CAPTAIN AMERICA THEATER OF WAR: GHOSTS OF MY COUNTRY	2009
CATOW:OZP	CAPTAIN AMERICA THEATER OF WAR: OPERATION ZERO POINT	2008
CATOW:POD	CAPTAIN AMERICA THEATER OF WAR: PRISONERS OF DUTY	2010
CATOW:TSO	CAPTAIN AMERICA THEATER OF WAR: TO SOLDIER ON	2009
CB	CAPTAIN BRITAIN (British Comic)	1976-1977
CB2	CAPTAIN BRITAIN VOL. 2 (British Comic)	1985-1986
CB&MI13	CAPTAIN BRITAIN & MI13	2008-2009
CD	CRIMSON DAWN	1997
CDPOOL	CABLE & DEADPOOL	2004-2008
CE	CUTTING EDGE	1995
CHAMBER	CHAMBER	2002-2003
CHAMBER OF CHILLS	CHAMBER OF CHILLS	1972-1976
CHAMBER OF DARKNESS	CHAMBER OF DARKNESS	1969-1970
CHAMP	CHAMPIONS	1975-1978
CHAMP COMICS	CHAMP COMICS	1940-1943
CHAMPION COMICS	CHAMPION COMICS	1939-1940
CHAOS	CHAOS WAR	2010-2011
CHAOS:AF	CHAOS WAR: ALPHA FLIGHT	2011
CHAOS:CK	CHAOS WAR: CHAOS KING	2011
CHAOS:DA	CHAOS WAR: DEAD AVENGERS	2011
CHAOS:GS	CHAOS WAR: GOD SQUAD	2011
CHAOS:T	CHAOS WAR: THOR	2011
CK	COMBAT KELLY	1951-1957
CK2	COMBAT KELLY VOL. 2	1972-1973
CLAN	CLANDESTINE	1994-1995
CLAN2	CLANDESTINE VOL. 2	2008
CLAP	CLASSIC PUNISHER	1989
CLAWS	CLAWS	2006
CLAWS2	WOLVERINE & BLACK CAT: CLAWS II	2011
CLYSM	CATACLYSM	2013
CLYSM:ULTCSM	CATACLYSM: ULTIMATE COMICS SPIDER-MAN	2014
CLYSM:ULTCULTS	CATACLYSM: ULTIMATE COMICS ULTIMATES	2014
CLYSM:ULTCXM	CATACLYSM: ULTIMATE COMICS X-MEN	2014
CLYSM:ULTSLS	CATACLYSM: ULTIMATES' LAST STAND	2014
CM	CAPTAIN MARVEL	1968-1979
CM2	CAPTAIN MARVEL VOL. 2	1989
CM3	CAPTAIN MARVEL VOL. 3 (FREE  YOUR MIND)	1994
CM4	CAPTAIN MARVEL VOL. 4	1995-1996
CM5	CAPTAIN MARVEL VOL. 5	1999-2002
CM6	CAPTAIN MARVEL VOL. 6	2002-2004
CM7	CAPTAIN MARVEL VOL. 7	2007
CM8	CAPTAIN MARVEL VOL. 8 (EARTH'S MIGHTIEST HERO)	2012-2014
CM9	CAPTAIN MARVEL VOL. 9	2014-
CN:FARM	CODENAME: FIREARM	1995
COC	MARVEL SUPER HERO CONTEST OF CHAMPIONS	1982
COC2	CONTEST OF CHAMPIONS II	1999
COD:B	CALL OF DUTY: BROTHERHOOD	2002-2003
COD:P	CALL OF DUTY: PRECINCT	2002-2003
COD:W	CALL OF DUTY: WAGON	2002-2003
COH	CODE OF HONOR	1997
COL	COLOSSUS	1997
COMEDY COMICS	COMEDY COMICS	1942-1946
COMET	COMET MAN	1987
COMPLETE COMICS	COMPLETE COMICS	1944
COMPLETE MYSTERY	COMPLETE MYSTERY	1948-1949
CONAN	CONAN	1995-1996
CONANSAV	CONAN THE SAVAGE	1995-1996
CONANVRUNE	CONAN VS. RUNE	1995
CONSPIRACY	CONSPIRACY	1998
CORUNE	CURSE OF RUNE	1994-1995
COTL	CREATURES ON THE LOOSE	1971-1975
COV	CHILDREN OF THE VOYAGER	1993
CP	COSMIC POWERS	1994
CPU	COSMIC POWERS UNLIMITED	1995-1996
CRASH COMICS	CRASH COMICS	1940
CREW	CREW	2003-2004
CRIMEFIGHTERS	CRIMEFIGHTERS	1948-1949
CRIMSON DYNAMO	CRIMSON DYNAMO	2003-2004
CRITICAL MASS	CRITICAL MASS	1989-1990
CRNG	CARNAGE	2010-2011
CRNG:MB	CARNAGE: MIND BOMB	1996
CRNG:WL	CARNAGE: IT'S A WONDERFUL LIFE	1996
CRNGUSA	CARNAGE U.S.A.	2012
CRYS	CRYSTAR	1983-1985
CS	CAPTAIN SAVAGE	1968-1970
CTB	CONAN THE BARBARIAN	1970-1993
CV	CITIZEN V AND THE V BATTALION	2001
CV2	CITIZEN V AND THE V BATTALION VOL. 2 (EVERLASTING)	2002
CW	CIVIL WAR	2006-2007
CW:BDR	CIVIL WAR: BATTLE DAMAGE REPORT	2007
CW:C	CIVIL WAR: CONFESSION	2007
CW:CS	CIVIL WAR: CHOOSING SIDES	2006-2007
CW:FL	CIVIL WAR: FRONT LINE	2006-2007
CW:I	CIVIL WAR: INITIATIVE	2007
CW:R	CIVIL WAR: RETURN	2007
CW:WC	CIVIL WAR: WAR CRIMES	2007
CW:X	CIVIL WAR: X-MEN	2006
CW:YA/RUN	CIVIL WAR: YOUNG AVENGERS/RUNAWAYS	2006
CX	CLASSIC X-MEN	1986-1995
CYBER	CYBERSPACE 3000	1993-1994
CYBERFORCE	CYBERFORCE	1993-1997
CYBLADE/GR	CYBLADE/GHOST RIDER	1997
CYCLOPS	CYCLOPS	2001-2002
CYCLOPS3	CYCLOPS VOL. 3	2014-
D3	DEATH 3	1993
D:DW	DAKEN: DARK WOLVERINE	2010-2012
D:LU	DRACULA: LORD OF THE UNDEAD	1998
D2099	DOOM 2099	1993-1996
DA	DARK ANGEL	1992-1993
DAMCON	DAMAGE CONTROL	1989
DAMCON2	DAMAGE CONTROL VOL. 2	1989-1990
DAMCON3	DAMAGE CONTROL VOL. 3	1991
DAMCON4	WORLD WAR HULK: AFTERSMASH! DAMAGE CONTROL VOL. 4	2008
DARING MYSTERY COMICS	DARING MYSTERY COMICS	1940-1942
DARING MYSTERY COMICS 70AS	DARING MYSTERY COMICS 70TH ANNIVERSARY SPECIAL	2009
DARK	DARKDEVIL	2000-2001
DARKA	DARK AVENGERS	2009-2010
DARKA2	DARK AVENGERS VOL. 2	2012-2013
DARKA:A	DARK AVENGERS: ARES	2009-2010
DARKW	DARK WOLVERINE	2009-2010
DARKX	DARK X-MEN	2010
DARKX:B	DARK X-MEN: BEGINNING	2009
DARKX:C	DARK X-MEN: CONFESSION	2009
DAYD	DAYDREAMERS	1997
DAZZ	DAZZLER	1981-1986
DAZZ2	DAZZLER VOL. 2	2010
DB	DAILY BUGLE	1996-1997
DBCW	DAILY BUGLE CIVIL WAR SPECIAL	2006
DC	DRAGON'S CLAWS	1988-1989
DC/M:AA	DC/MARVEL: ALL ACCESS	1996-1997
DCVGF	DIE-CUT VS. G-FORCE	1993
DCVM	DC VS. MARVEL	1996
DD	DAREDEVIL	1964-1998, 2009-2011
DD2	DAREDEVIL VOL. 2	1998-2009
DD3	DAREDEVIL VOL. 3	2011-2014
DD4	DAREDEVIL VOL. 4	2014-
DD&CA:DOA	DAREDEVIL & CAPTAIN AMERICA: DEAD ON ARRIVAL	1993
DD/BW:A	DAREDEVIL/BLACK WIDOW: ABATTOIR	1993
DD/SM	DAREDEVIL/SPIDER-MAN	2001
DD:BJM	DAREDEVIL: BATTLING JACK MURDOCK	2007
DD:BOT	DAREDEVIL: BLOOD OF THE TARANTULA	2008
DD:CM	DAREDEVIL: CAGE MATCH	2010
DD:F	DAREDEVIL: FATHER	2004-2007
DD:FFG	DAREDEVIL: FALL FROM GRACE TPB	1994
DD:N	DAREDEVIL: NINJA	2000-2001
DD:R	DAREDEVIL: REDEMPTION	2005
DD:T	DAREDEVIL: TARGET	2003
DD:Y	DAREDEVIL: YELLOW	2001-2002
DDINO	DEVIL DINOSAUR	1978
DDINO2	DEVIL DINOSAUR VOL. 2	1997
DDS	DAREDEVILS (British Comic)	1981-1983
DDVP	DAREDEVIL VS PUNISHER	2005-2006
DE:A	DOUBLE EDGE: ALPHA	1995
DE:O	DOUBLE EDGE: OMEGA	1995
DEF	DEFENDERS	1972-1986
DEF2	DEFENDERS VOL. 2	2001-2002
DEF3	DEFENDERS VOL. 3	2005-2006
DEF4	DEFENDERS VOL. 4	2012-2013
DEF5	(FEARLESS) DEFENDERS VOL. 5	2013-2014
DEVILS	DEVILS	2002
DF	DOMINATION FACTOR	1999-2000
DFSM	DEADLY FOES OF SPIDER-MAN	1991
DG	DARK GUARD	1993-1994
DH	DEATH'S HEAD	1988-1989
DH:BIQ	DEATH'S HEAD: BODY IN QUESTION	1990
DHAWK	DARKHAWK	1991-1995
DHGOLD	DEATH'S HEAD GOLD	1994
DHII	DEATH'S HEAD II	1992
DHII2	DEATH'S HEAD II VOL. 2	1992-1994
DHIIODC	DEATH'S HEAD II & ORIGIN OF DIE-CUT	1993
DHKF	DEADLY HANDS OF KUNG FU	1974-1977
DHKF2	DEADLY HANDS OF KUNG FU VOL. 2	2014
DHOLD	DARKHOLD	1992-1994
DIECUT	DIE-CUT	1993-1994
DIGI	DIGITEK	1992-1993
DL	DRACULA LIVES! (MAGAZINE)	1973-1975
DLINE	DEADLINE	2002
DLOK	DEATHLOK	1990
DLOK2	DEATHLOK VOL. 2	1991-1994
DLOK3	DEATHLOK VOL. 3	2005-2006
DM	DEATH METAL	1994
DMVG	DEATH METAL VS. GENETIX	1993-1994
DN	DAKOTA NORTH	1986-1987
